uniprot_acc	is_control_genes
P34913	FALSE
P34931	FALSE
P34932	FALSE
P35052	FALSE
P35232	FALSE
P35237	FALSE
P35241	FALSE
P35268	FALSE
P35269	FALSE
P35442	FALSE
P35443	FALSE
P35520	FALSE
P35527	FALSE
P35542	FALSE
P35555	FALSE
P35573	FALSE
P35579	FALSE
P35580	FALSE
P35611	FALSE
P35613	FALSE
P35637	FALSE
P35659	FALSE
P35754	FALSE
P35858	FALSE
P35900	FALSE
P35908	FALSE
P36222	FALSE
P36542	FALSE
P36578	FALSE
P36871	FALSE
P36952	FALSE
P36955	FALSE
P36959	FALSE
P36969	FALSE
P36980	FALSE
P37235	FALSE
P37802	FALSE
P37837	FALSE
P37840	FALSE
P38159	FALSE
P38606	FALSE
P38646	FALSE
P39019	FALSE
P39023	FALSE
P39059	FALSE
P39060	FALSE
P39687	FALSE
P40121	FALSE
P40227	FALSE
P40763	FALSE
P40925	FALSE
P40926	FALSE
P40939	FALSE
P41226	FALSE
P41240	FALSE
P41250	FALSE
P41439	FALSE
P42126	FALSE
P42166	FALSE
P42330	FALSE
P42574	FALSE
P42677	FALSE
P42680	FALSE
P42765	FALSE
P42785	FALSE
P43121	FALSE
P43243	FALSE
P43251	FALSE
P43487	FALSE
P43490	FALSE
P43652	FALSE
P45974	FALSE
P46060	FALSE
P46109	FALSE
P46777	FALSE
P46781	FALSE
P46782	FALSE
P46783	FALSE
P46821	FALSE
P46926	FALSE
P46939	FALSE
P47756	FALSE
P47897	FALSE
P47929	FALSE
P48047	FALSE
P48059	FALSE
P48147	FALSE
P48163	FALSE
P48426	FALSE
P48444	FALSE
P48506	FALSE
P48637	FALSE
P48668	FALSE
P48681	FALSE
P48740	FALSE
P49005	FALSE
P49189	FALSE
P49247	FALSE
P49321	FALSE
P49327	FALSE
P49368	FALSE
P49454	FALSE
P49588	FALSE
P49591	FALSE
P49593	FALSE
P49643	FALSE
P49720	FALSE
P49721	FALSE
P49736	FALSE
P49747	FALSE
P49756	FALSE
P49773	FALSE
P49908	FALSE
P49913	FALSE
P50135	FALSE
P50213	FALSE
P50238	FALSE
P50281	FALSE
P50395	FALSE
P50440	FALSE
P50452	FALSE
P50454	FALSE
P50552	FALSE
P50570	FALSE
P50750	FALSE
P50895	FALSE
P50914	FALSE
P50990	FALSE
P50991	FALSE
P51149	FALSE
P51452	FALSE
P51570	FALSE
P51610	FALSE
P51858	FALSE
P51884	FALSE
P51888	FALSE
P51991	FALSE
P52209	FALSE
P52272	FALSE
P52565	FALSE
P52566	FALSE
P52701	FALSE
